ID	VARDAS PAVARDĖ	Sąrašas	Numeris sąraše	Porinkiminis numeris	Vienmandatė apygarda	Iškėlė vienmandatėje	Turas	Privalomas registruoti turtas (Eur)	Vertybiniai popieriai, meno kūriniai, juvelyriniai dirbiniai (Eur)	Piniginės lėšos (Eur)	Suteiktos paskolos (Eur)	Gautos paskolos (Eur)	Gautų pajamų suma (GPM305 formos 12, 13, 14 ir GPM305V formos V14 laukelių suma) (Eur)	Išskaičiuota (sumokėta) pajamų mokesčio suma (GPM305 formos 27, 28, 30 laukelių suma) (Eur)	Nuoroda į VRK psl.			
303	GIEDRIUS GATAVECKAS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	32	-	28. Aukštaitijos	Lietuvos centro partija	I	96300	0	5414	0	73362	533,84	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104566.0%26rnkId%3D426			
304	VILMA GAUBYTĖ	12. Lietuvos žaliųjų partija	16	-			I	79645	40600	1500	65164	105711	18306,39	2746	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104026.0%26rnkId%3D426			
305	JŪRATĖ GAUČIENĖ	9. „Drąsos kelias“ politinė partija	13	-	67. Prienų-Birštono	9. „Drąsos kelias“ politinė partija	I	27514	0	0	0	637	4270,26	117	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102742.0%26rnkId%3D426			
306	RYTIS GAUČYS	9. „Drąsos kelias“ politinė partija	21	-			I	1448	0	0	0	407	166,3	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102744.0%26rnkId%3D426			
307	VALENTIN GAVRILOV	1. Lietuvos socialdemokratų partija	117	-			I	36782	1384	8160	0	19198	30477,47	4366	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103910.0%26rnkId%3D426			
308	ALGIRDAS GEČAS	7. Lietuvos Respublikos liberalų sąjūdis	92	-	32. Šilutės	7. Lietuvos Respublikos liberalų sąjūdis	I	72463	0	17296	0	0	13876,73	2082	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103446.0%26rnkId%3D426			
309	IRUTĖ GEDUTIENĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	50	-	38. Mažeikių	Lietuvos centro partija	I	67000	0	4000	0	0	5143,92	538	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104542.0%26rnkId%3D426			
310	MARTYNAS GEDVILAS	5. Partija Tvarka ir teisingumas	48	-			I	23000	0	0	0	0	6376,23	330	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102358.0%26rnkId%3D426			
311	VYDAS GEDVILAS	8. Darbo partija	8	-	16. Dainavos	8. Darbo partija	I	55500	0	141	0	0	42870,84	6326	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100604.0%26rnkId%3D426			
312	AISTĖ GEDVILIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	28	-	11. Panerių	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	65000	0	0	0	32000	17906,9	2668	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104080.0%26rnkId%3D426			
313	DONATA GEGIECKAITĖ	3. Lietuvos laisvės sąjunga (liberalai)	105	-			I	0	0	0	0	0	5667,69	586	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102896.0%26rnkId%3D426			
314	ROMUALDAS GĖGŽNAS	5. Partija Tvarka ir teisingumas	22	-	11. Panerių	5. Partija Tvarka ir teisingumas	I	59286	2573	33500	0	32106	16687,89	2426	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102158.0%26rnkId%3D426			
315	ARŪNAS GELŪNAS	7. Lietuvos Respublikos liberalų sąjūdis	5	-	13. Centro-Žaliakalnio	7. Lietuvos Respublikos liberalų sąjūdis	I	88893	0	14443	0	92432	24127,21	2920	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103410.0%26rnkId%3D426			
316	ALGIRDAS GENEVIČIUS	5. Partija Tvarka ir teisingumas	30	-	59. Kaišiadorių-Elektrėnų	5. Partija Tvarka ir teisingumas	I	206471	1737	55752	0	78777	29440,69	4416	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102232.0%26rnkId%3D426			
317	EUGENIJUS GENTVILAS	7. Lietuvos Respublikos liberalų sąjūdis	1	-	31. Gargždų	7. Lietuvos Respublikos liberalų sąjūdis	I	278324	0	12401	0	0	40223,44	5574	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103444.0%26rnkId%3D426			
318	SIMONAS GENTVILAS	7. Lietuvos Respublikos liberalų sąjūdis	6	-	23. Danės	7. Lietuvos Respublikos liberalų sąjūdis	I	16300	0	5000	0	0	21258,92	2558	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103496.0%26rnkId%3D426			
319	MINDAUGAS GERYBA	3. Lietuvos laisvės sąjunga (liberalai)	84	-			I	25000	0	10000	9800	10000	19531,24	2825	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102966.0%26rnkId%3D426			
320	NIJOLĖ GIEDRAITIENĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	9	-	61. Ukmergės	Lietuvos centro partija, išsikėlė pati	I	89000	0	0	0	0	5567,85	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104578.0%26rnkId%3D426			
321	BIRUTĖ GILER	6. Lietuvos valstiečių ir žaliųjų sąjunga	104	-			I	29456	0	0	0	0	21675,98	1262	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102572.0%26rnkId%3D426			
322	ILONA GYLYTĖ	5. Partija Tvarka ir teisingumas	91	-			I	25620	0	0	0	0	11398,76	1643	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102298.0%26rnkId%3D426			
323	ANTANAS GIMBUTAS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	67	-			I	13033	135	12000	0	0	4614,89	434	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104676.0%26rnkId%3D426			
324	VYTAUTAS GIMŽAUSKAS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	127	-			I	108928	9	44885	0	0	21408,96	21	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104292.0%26rnkId%3D426			
325	SAULIUS GIRDAUSKAS	8. Darbo partija	59	-	18. Panemunės	8. Darbo partija	I	114397	35540	249942	86886	192776	32430,37	3928	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100632.0%26rnkId%3D426			
326	GINTARAS GIRŠTAUTAS	3. Lietuvos laisvės sąjunga (liberalai)	90	-			I	10655	0	2500	0	0	18400,34	2760	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102928.0%26rnkId%3D426			
327	VIRGINIJUS GIRUTIS	9. „Drąsos kelias“ politinė partija	26	-			I	44000	0	0	0	0	5559,08	607	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102730.0%26rnkId%3D426			
328	KĘSTUTIS GLAVECKAS	7. Lietuvos Respublikos liberalų sąjūdis	9	-	16. Dainavos	7. Lietuvos Respublikos liberalų sąjūdis	I	1005687	140199	194176	0	0	346756,27	9624	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103484.0%26rnkId%3D426			
329	ARŪNAS GLAVICKAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	138	-			I	0	0	133	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102592.0%26rnkId%3D426			
330	RITA GLIAUDELIENĖ	3. Lietuvos laisvės sąjunga (liberalai)	23	-	59. Kaišiadorių-Elektrėnų	3. Lietuvos laisvės sąjunga (liberalai)	I	211289	8977	13700	0	89678	28724,63	3714	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102866.0%26rnkId%3D426			
331	VAIDOTAS GLOBYS	8. Darbo partija	67	-	34. Tauragės	8. Darbo partija	I	75290	2896	1500	10000	0	9606,87	206	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100580.0%26rnkId%3D426			
332	MARIUS GOROCHOVSKIS	7. Lietuvos Respublikos liberalų sąjūdis	78	-			I	0	278	2927	0	0	6262,49	682	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103654.0%26rnkId%3D426			
333	SAKALAS GORODECKIS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	11	-	2. Senamiesčio	Tautininkų sąjunga	I	67400	2800	1575	2000	6080	38485,69	4710	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101320.0%26rnkId%3D426			
334	OLGA GORŠKOVA	8. Darbo partija	101	-			I	36700	0	20243	0	0	7057,15	891	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101454.0%26rnkId%3D426			
335	STASĖ GOŠTAUTIENĖ	3. Lietuvos laisvės sąjunga (liberalai)	98	-			I	99100	5000	3000	0	0	16270,39	2441	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102900.0%26rnkId%3D426			
336	JELENA GRABOVSKAJA	10. Lietuvos liaudies partija	31	-			I	46942	0	0	0	0	1791,26	7	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103340.0%26rnkId%3D426			
337	LORETA GRAUŽINIENĖ	8. Darbo partija	7	-	61. Ukmergės	8. Darbo partija	I	35913	0	19631	0	10508	47636,8	7038	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100528.0%26rnkId%3D426			
338	ARŪNAS GRAŽULIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	91	-			I	103500	13494	3200	0	54000	17530,59	241	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102666.0%26rnkId%3D426			
339	GIEDRIUS GRAŽULIS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	115	-			I	39099	0	0	0	33234	30279	3359	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104278.0%26rnkId%3D426			
340	PETRAS GRAŽULIS	5. Partija Tvarka ir teisingumas	4	-	31. Gargždų	5. Partija Tvarka ir teisingumas, išsikėlė pats	I	22860	0	34530	0	0	37327,2	5545	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099864.0%26rnkId%3D426			
341	VALENTINAS GRAŽULIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	122	-			I	153936	0	62000	0	5678	63376,3	3373	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102690.0%26rnkId%3D426			
342	MAURIKIJUS GRĖBLIŪNAS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	111	-			I	57924	0	17100	0	0	12792,54	1811	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104246.0%26rnkId%3D426			
343	JANINA GREICIŪNAITĖ	8. Darbo partija	141	-			I	0	0	0	0	0	6987,77	886	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101462.0%26rnkId%3D426			
344	KAZYS GRYBAUSKAS	1. Lietuvos socialdemokratų partija	57	-			I	59350	4646	12470	0	0	30380,55	3958	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103856.0%26rnkId%3D426			
345	SKIRMANTĖ GRICIŪNIENĖ	3. Lietuvos laisvės sąjunga (liberalai)	22	-	48. Biržų-Kupiškio	3. Lietuvos laisvės sąjunga (liberalai)	I	11000	0	3000	0	0	11638,58	1746	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102864.0%26rnkId%3D426			
346	RITA GRIGALIENĖ	1. Lietuvos socialdemokratų partija	99	-			I	29600	0	10200	0	5055	8120,4	992	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103886.0%26rnkId%3D426			
347	VIOLETA GRIGIENĖ	3. Lietuvos laisvės sąjunga (liberalai)	10	-	26. Nevėžio	3. Lietuvos laisvės sąjunga (liberalai)	I	74156	1700	15000	0	0	29586,37	4363	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102850.0%26rnkId%3D426			
348	ALGIRDAS GRIKŠAS	9. „Drąsos kelias“ politinė partija	27	-			I	50000	0	0	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102728.0%26rnkId%3D426			
349	ASTA GRINIUTĖ	8. Darbo partija	84	-			I	1650	12000	5000	0	0	11894,24	1494	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101514.0%26rnkId%3D426			
350	MIGLĖ GRUCYTĖ-UŽGIENĖ	7. Lietuvos Respublikos liberalų sąjūdis	128	-			I	24150	0	0	0	37000	4081,11	60	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103556.0%26rnkId%3D426			
351	TADAS GRUNDULAS	5. Partija Tvarka ir teisingumas	82	-			I	1000	893	2092	0	0	4291,54	282	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102362.0%26rnkId%3D426			
352	VILIJA GUCEVIČIŪTĖ	7. Lietuvos Respublikos liberalų sąjūdis	116	-			I	57924	0	0	0	48741	10647,41	1279	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103626.0%26rnkId%3D426			
353	ALGIRDAS GUDAITIS	5. Partija Tvarka ir teisingumas	84	-			I	75622	0	23614	76749	0	8023,71	1071	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102290.0%26rnkId%3D426			
354	DANGIS GUDELIS	3. Lietuvos laisvės sąjunga (liberalai)	79	-			I	111503	0	1300	0	0	16497,87	2277	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102956.0%26rnkId%3D426			
355	EDITA GUDIŠAUSKIENĖ	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	68	-	19. Aleksoto-Vilijampolės	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	1217	0	51360	0	0	36904	4549	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104068.0%26rnkId%3D426			
356	ALVYDAS GUDUNAVIČIUS	8. Darbo partija	112	-			I	28500	0	6000	0	0	10723,22	1504	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101532.0%26rnkId%3D426			
357	RENATAS GUDZEVIČIUS	9. „Drąsos kelias“ politinė partija	19	-	42. Raseinių-Kėdainių	9. „Drąsos kelias“ politinė partija	I	11400	0	10000	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102704.0%26rnkId%3D426			
358	KĘSTUTIS GUMBRYS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	43	-	65. Raudondvario	Lietuvos centro partija	I	20360	0	6661	0	0	28957,1	4223	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104606.0%26rnkId%3D426			
359	ARŪNAS GUMULIAUSKAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	34	-	46. Žiemgalos	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	19700	0	8000	0	0	22334,08	3204	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102470.0%26rnkId%3D426			
360	BEATA GUREVIČIENĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	69	-			I	1000	0	13000	0	0	5217,87	489	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104690.0%26rnkId%3D426			
361	MARIUS GURSKAS	7. Lietuvos Respublikos liberalų sąjūdis	137	-			I	50000	0	6000	0	44000	14759,56	2178	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103554.0%26rnkId%3D426			
362	ŠARŪNAS GUSTAINIS	7. Lietuvos Respublikos liberalų sąjūdis	22	-	4. Žirmūnų	7. Lietuvos Respublikos liberalų sąjūdis	I	168558	2896	191072	25000	252755	124038,7	6294	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103420.0%26rnkId%3D426			
363	VALDIMARAS GUZAITIS	3. Lietuvos laisvės sąjunga (liberalai)	73	-			I	163080	5400	30000	0	5320	39600,48	5811	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102958.0%26rnkId%3D426			
364	IRENA HAASE	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	60	-			I	9078	0	24417	0	0	23054,48	2383	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104218.0%26rnkId%3D426			
365	ALOYZAS IGNAŠIUS	8. Darbo partija	78	-	32. Šilutės	8. Darbo partija	I	45600	30	20000	0	0	8054,7	926	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100584.0%26rnkId%3D426			
366	IRENA IGNATAVIČIENĖ	3. Lietuvos laisvės sąjunga (liberalai)	80	-			I	62523	0	0	0	0	25400	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102898.0%26rnkId%3D426			
367	RYŠARD IGNATOVIČ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	130	-			I	81200	0	13000	0	0	17852,12	1136	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103070.0%26rnkId%3D426			
368	DMITRIJ IKONIKOV	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	32	-	52. Visagino-Zarasų	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	I	222500	4500	2300	0	0	1834,18	225	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103034.0%26rnkId%3D426			
369	AUDRIUS ILGEVIČIUS	3. Lietuvos laisvės sąjunga (liberalai)	24	-	54. Molėtų-Širvintų	3. Lietuvos laisvės sąjunga (liberalai)	I	54000	0	13856	8740	0	11919,33	1788	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102836.0%26rnkId%3D426			
370	ARVYDAS ILGINIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	98	-			I	401625	0	0	0	0	313,93	47	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102656.0%26rnkId%3D426			
371	GEDIMINAS IMBRASAS	5. Partija Tvarka ir teisingumas	56	-	3. Antakalnio	5. Partija Tvarka ir teisingumas	I	79292	0	95600	0	73962	8506,82	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102248.0%26rnkId%3D426			
372	JUOZAS IMBRASAS	5. Partija Tvarka ir teisingumas	7	-	61. Ukmergės	5. Partija Tvarka ir teisingumas	I	39100	0	202700	0	0	2738,11	112	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102236.0%26rnkId%3D426			
373	ANA INGELEVIČ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	94	-			I	36261	0	9200	0	0	13573,35	2036	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103250.0%26rnkId%3D426			
374	JUSTAS INGELEVIČIUS	12. Lietuvos žaliųjų partija	10	-			I	0	0	5000	0	626	11748,13	1762	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104022.0%26rnkId%3D426			
375	NATALJA ISTOMINA	5. Partija Tvarka ir teisingumas	18	-	20. Baltijos	5. Partija Tvarka ir teisingumas	I	211000	0	11000	0	121535	30701,4	4325	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102174.0%26rnkId%3D426			
376	ARNOLDAS IVANAUSKAS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	60	-	43. Kėdainių	Lietuvos centro partija	I	0	0	11443	0	0	13167,24	1975	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104514.0%26rnkId%3D426			
377	ALDONA IVOŠKIENĖ	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	24	-			I	15481	0	0	0	0	753,02	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103360.0%26rnkId%3D426			
378	REDAS JABLONSKIS	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	49	-	24. Saulės	Tautininkų sąjunga	I	0	0	0	0	0	910	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101304.0%26rnkId%3D426			
379	ROMUALDAS JABLONSKIS	7. Lietuvos Respublikos liberalų sąjūdis	101	-			I	124700	16190	100275	0	91182	19680,04	2772	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103672.0%26rnkId%3D426			
380	NIJOLĖ JAGELAVIČIENĖ	3. Lietuvos laisvės sąjunga (liberalai)	11	-			I	217768	0	28093	107912	46339	12518,25	1877	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102870.0%26rnkId%3D426			
381	BIRUTĖ JAGMINIENĖ	13. Politinė partija „Lietuvos sąrašas“	29	-			I	100000	8700	80000	0	38000	13731,93	1928	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104418.0%26rnkId%3D426			
382	JONAS JAKAITIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	96	-			I	232	0	35000	0	0	22422,8	3363	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102584.0%26rnkId%3D426			
383	INDRĖ JAKAITYTĖ	3. Lietuvos laisvės sąjunga (liberalai)	77	-			I	152200	0	4140	0	68992	50692,59	7361	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102952.0%26rnkId%3D426			
384	ARVYDAS JAKAS	3. Lietuvos laisvės sąjunga (liberalai)	17	-	32. Šilutės	3. Lietuvos laisvės sąjunga (liberalai)	I	415111	18760	0	151500	314820	14012,16	1647	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102792.0%26rnkId%3D426			
385	LAIMONAS JAKAS	3. Lietuvos laisvės sąjunga (liberalai)	14	-	40. Telšių	3. Lietuvos laisvės sąjunga (liberalai)	I	102236	2182	31564	0	0	6992,84	794	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102854.0%26rnkId%3D426			
386	GEDIMINAS JAKAVONIS	8. Darbo partija	32	-	70. Varėnos-Trakų	8. Darbo partija	I	160985	5100	5800	0	0	33114,6	4967	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1100568.0%26rnkId%3D426			
387	ANGELĖ JAKAVONYTĖ	7. Lietuvos Respublikos liberalų sąjūdis	49	-			I	141333	0	0	0	15000	17133,71	2462	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103578.0%26rnkId%3D426			
