ID	VARDAS PAVARDĖ	Sąrašas	Numeris sąraše	Porinkiminis numeris	Vienmandatė apygarda	Iškėlė vienmandatėje	Turas	Privalomas registruoti turtas (Eur)	Vertybiniai popieriai, meno kūriniai, juvelyriniai dirbiniai (Eur)	Piniginės lėšos (Eur)	Suteiktos paskolos (Eur)	Gautos paskolos (Eur)	Gautų pajamų suma (GPM305 formos 12, 13, 14 ir GPM305V formos V14 laukelių suma) (Eur)	Išskaičiuota (sumokėta) pajamų mokesčio suma (GPM305 formos 27, 28, 30 laukelių suma) (Eur)	Nuoroda į VRK psl.			
18	ARŪNAS AMBRASAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	109	-			I	38800	0	3500	0	0	3256,52	92	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102668.0%26rnkId%3D426			
19	TOMAS AMBRAZAS			-	4. Žirmūnų	Išsikėlė pats	I	71000	11210	87100	0	0	23723,97	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1098658.0%26rnkId%3D426			
20	ANGELĖ AMBRAZIENĖ	10. Lietuvos liaudies partija	24	-	44. Radviliškio	10. Lietuvos liaudies partija	I	46300	0	0	0	0	254,31	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103288.0%26rnkId%3D426			
21	RAIMONDAS AMŠIEJUS	8. Darbo partija	86	-			I	39132	0	3032	0	18015	12210,76	1005	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101500.0%26rnkId%3D426			
22	MINDAUGAS ANCIUS	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	80	-			I	18857	0	700	0	18857	5563,29	281	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104698.0%26rnkId%3D426			
23	JELENA ANDRIJANOVA	14. Antikorupcinė N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkų partiją)	61	-	57. Medininkų	Lietuvos centro partija	I	30000	0	1500	0	1400	7676,53	837	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104628.0%26rnkId%3D426			
24	RIMAS ANDRIKIS	5. Partija Tvarka ir teisingumas	3	-	65. Raudondvario	5. Partija Tvarka ir teisingumas	I	7200	14481	20000	0	0	25511,91	2803	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102276.0%26rnkId%3D426			
25	RASA ANDRIUŠIENĖ	10. Lietuvos liaudies partija	25	-	34. Tauragės	10. Lietuvos liaudies partija	I	24000	0	0	0	0	2402,55	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103290.0%26rnkId%3D426			
26	TERESA ANDRUŠKEVIČ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	47	-			I	26230	0	0	0	0	5976,38	565	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103208.0%26rnkId%3D426			
27	ARŪNAS ANDZIULIS	6. Lietuvos valstiečių ir žaliųjų sąjunga	81	-	23. Danės	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	19558	74515	89570	0	0	24205,41	3538	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102456.0%26rnkId%3D426			
28	TADEUŠ ANDŽEJEVSKI	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	11	-	3. Antakalnio	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	I	37243	0	4928	0	0	11208,85	1580	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103004.0%26rnkId%3D426			
29	ASTA ANTANAVIČIUTĖ	13. Politinė partija „Lietuvos sąrašas“	23	-	40. Telšių	13. Politinė partija „Lietuvos sąrašas“	I	51500	203057	31066	17280	10572	18469,87	1817	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104362.0%26rnkId%3D426			
30	RIMVYDAS ANUSAUSKAS	5. Partija Tvarka ir teisingumas	119	-			I	78901	0	43000	0	0	36491,16	1734	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102398.0%26rnkId%3D426			
31	ARVYDAS ANUŠAUSKAS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	13	-	27. Vakarinė	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	146200	0	0	0	98266	39291,98	5550	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104084.0%26rnkId%3D426			
32	GEDIMINAS ANUŽIS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	65	-	37. Kuršo	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	13290	0	0	0	0	18076,97	2600	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104058.0%26rnkId%3D426			
33	ERNESTA APANAVIČIŪTĖ	1. Lietuvos socialdemokratų partija	69	-			I	22807	0	0	0	0	10285,9	1510	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103938.0%26rnkId%3D426			
34	JŪRATĖ APOLIANSKIENĖ	4. S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)	34	-			I	6500	0	5000	0	0	7184,61	696	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1099934.0%26rnkId%3D426			
35	SAULIUS ARLAUSKAS	5. Partija Tvarka ir teisingumas	32	-			I	61723	0	8026	0	0	9320,69	1327	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102346.0%26rnkId%3D426			
36	AUŠRINĖ ARMONAITĖ	7. Lietuvos Respublikos liberalų sąjūdis	19	-	9. Lazdynų	7. Lietuvos Respublikos liberalų sąjūdis	I	0	0	0	0	0	6654,28	823	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103428.0%26rnkId%3D426			
37	KĘSTUTIS ARMONAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	89	-			I	462042	0	12840	0	186579	412621,34	7165	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102646.0%26rnkId%3D426			
38	VIDA VAIVA ARMONIENĖ	9. „Drąsos kelias“ politinė partija	32	-	17. Petrašiūnų	9. „Drąsos kelias“ politinė partija	I	400	0	0	0	0	2383,42	43	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102754.0%26rnkId%3D426			
39	JONAS AUDĖJAITIS	1. Lietuvos socialdemokratų partija	48	-	19. Aleksoto-Vilijampolės	1. Lietuvos socialdemokratų partija	I	51580	6897	43616	0	0	33142,66	4679	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103814.0%26rnkId%3D426			
40	DONATAS AUGULIS	1. Lietuvos socialdemokratų partija	123	-			I	89956	0	18500	0	88594	17376,93	2294	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103918.0%26rnkId%3D426			
41	GINTAUTAS AUGUSTAITIS	9. „Drąsos kelias“ politinė partija	12	-	64. Zanavykų	9. „Drąsos kelias“ politinė partija	I	14350	0	12300	0	0	6124,97	669	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102764.0%26rnkId%3D426			
42	DOVILĖ AURYLAITĖ	8. Darbo partija	96	-			I	0	0	0	0	0	8111,2	1062	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1101420.0%26rnkId%3D426			
43	ARVYDAS AŽELIS	5. Partija Tvarka ir teisingumas	103	-			I	40350	0	0	0	0	14322,72	2047	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102366.0%26rnkId%3D426			
44	MARIJA AŽUBALIENĖ	11. Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga	106	-			I	8400	0	0	0	0	0	0	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103160.0%26rnkId%3D426			
45	AUDRONIUS AŽUBALIS	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	17	-	6. Šeškinės	2. Tėvynės sąjunga - Lietuvos krikščionys demokratai	I	38121	0	58857	0	3389	37334,26	5496	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1104090.0%26rnkId%3D426			
46	VALIUS ĄŽUOLAS	6. Lietuvos valstiečių ir žaliųjų sąjunga	48	-	39. Akmenės-Mažeikių	6. Lietuvos valstiečių ir žaliųjų sąjunga	I	161136	0	23959	0	12986	513263,8	10431	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102492.0%26rnkId%3D426			
47	NATALIJA BABELČIUS	5. Partija Tvarka ir teisingumas	98	-			I	18500	0	0	0	0	5505,91	606	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1102314.0%26rnkId%3D426			
48	ONA BABONIENĖ	1. Lietuvos socialdemokratų partija	55	-			I	21667	0	2300	0	13000	15542,23	2331	http://www.vrk.lt/2016-seimo/kandidatai?srcUrl=rorpA600/lrsKandidatasTurtasHtml%3FrkndId%3D1103854.0%26rnkId%3D426			
